"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\Transaction.ts", "TypeScript", 3, 0, 1, 4
"Total", "-", 3, 0, 1, 4
