"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Alex\Desktop\Projects\backend\src\routes\job\UpdateJobStatus.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 4, 25
"c:\Users\Alex\Desktop\Projects\backend\src\routes\job\ViewJobs.ts", "TypeScript", 0, 23, 0, 0, 0, 2, 4, 29
"c:\Users\Alex\Desktop\Projects\backend\src\routes\merchant\AddItem.ts", "TypeScript", 0, 16, 0, 0, 0, 1, 4, 21
"c:\Users\Alex\Desktop\Projects\backend\src\routes\merchant\GetItems.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\Alex\Desktop\Projects\backend\src\routes\merchant\GetItemsbyIds.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 4, 19
"c:\Users\Alex\Desktop\Projects\backend\src\routes\merchant\GetMerchant.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\Alex\Desktop\Projects\backend\src\routes\merchant\GetMerchantData.ts", "TypeScript", 0, 13, 0, 0, 0, 1, 4, 18
"c:\Users\Alex\Desktop\Projects\backend\src\routes\merchant\GetMerchantItem.ts", "TypeScript", 0, 14, 0, 0, 0, 1, 4, 19
"c:\Users\Alex\Desktop\Projects\backend\src\routes\merchant\GetMerchants.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 4, 21
"c:\Users\Alex\Desktop\Projects\backend\src\routes\merchant\GetNewItems.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\Alex\Desktop\Projects\backend\src\routes\merchant\LikeMerchantItem.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\Alex\Desktop\Projects\backend\src\routes\notifications\GetNotifications.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\Alex\Desktop\Projects\backend\src\routes\notifications\SaveNotification.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\Alex\Desktop\Projects\backend\src\routes\order\CreateOrder.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\Alex\Desktop\Projects\backend\src\routes\payment\README.md", "Markdown", 0, 0, 0, 0, 9, 0, 3, 12
"c:\Users\Alex\Desktop\Projects\backend\src\routes\payment\paypal\CreatePayment.ts", "TypeScript", 0, 16, 0, 0, 0, 1, 3, 20
"c:\Users\Alex\Desktop\Projects\backend\src\routes\rider\GetRider.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\Alex\Desktop\Projects\backend\src\routes\rider\GetRiderCurrentJob.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\Alex\Desktop\Projects\backend\src\routes\rider\GetRiderHistory.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\Alex\Desktop\Projects\backend\src\routes\rider\GetRiderJobs.ts", "TypeScript", 0, 16, 0, 0, 0, 1, 3, 20
"c:\Users\Alex\Desktop\Projects\backend\src\routes\rider\RiderOptIn.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\Alex\Desktop\Projects\backend\src\routes\rider\RiderRequestLoad.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\Alex\Desktop\Projects\backend\src\routes\rider\UpdateRiderProfile.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\Alex\Desktop\Projects\backend\src\routes\user\GetRecommendedMerchants.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\Alex\Desktop\Projects\backend\src\routes\user\GetUser.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\Alex\Desktop\Projects\backend\src\routes\user\GetUserDrafts.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\Alex\Desktop\Projects\backend\src\routes\user\GetUserHistory.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\Alex\Desktop\Projects\backend\src\routes\user\GetUserJobs.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\Alex\Desktop\Projects\backend\src\routes\user\UpdateUserProfile.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\Address.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 7, 27
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\AddressUsed.ts", "TypeScript", 0, 17, 0, 0, 0, 1, 5, 23
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\Admins.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\ExpoToken.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\Job.ts", "TypeScript", 0, 33, 0, 0, 0, 2, 10, 45
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\Job2.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\Likes.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\LoadRequest.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\Merchant.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\MerchantItem.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\Notification.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\Order.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 7, 29
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\Promos.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\Referral.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\Rider.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\Transaction.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\User.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\Alex\Desktop\Projects\backend\src\types\Config.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 19, 91
"c:\Users\Alex\Desktop\Projects\backend\src\types\ErrorCodes.ts", "TypeScript", 0, 60, 0, 0, 0, 15, 15, 90
"c:\Users\Alex\Desktop\Projects\backend\src\types\Fees.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\Alex\Desktop\Projects\backend\src\types\Http.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 12, 46
"c:\Users\Alex\Desktop\Projects\backend\src\types\Schema.ts", "TypeScript", 0, 7, 0, 0, 0, 1, 1, 9
"c:\Users\Alex\Desktop\Projects\backend\src\types\Services.ts", "TypeScript", 0, 129, 0, 0, 0, 0, 36, 165
"c:\Users\Alex\Desktop\Projects\backend\src\types\Storages.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Alex\Desktop\Projects\backend\src\types\Tables.ts", "TypeScript", 0, 19, 0, 0, 0, 26, 2, 47
"c:\Users\Alex\Desktop\Projects\backend\src\types\Token.ts", "TypeScript", 0, 14, 0, 0, 0, 1, 3, 18
"c:\Users\Alex\Desktop\Projects\backend\src\types\UploadFileOptions.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Alex\Desktop\Projects\backend\src\types\database\Address.ts", "TypeScript", 0, 17, 0, 0, 0, 2, 6, 25
"c:\Users\Alex\Desktop\Projects\backend\src\types\database\AddressUsed.ts", "TypeScript", 0, 20, 0, 0, 0, 5, 7, 32
"c:\Users\Alex\Desktop\Projects\backend\src\types\database\Admin.ts", "TypeScript", 0, 15, 0, 0, 0, 1, 2, 18
"c:\Users\Alex\Desktop\Projects\backend\src\types\database\ExpoToken.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Alex\Desktop\Projects\backend\src\types\database\Job.ts", "TypeScript", 0, 34, 0, 0, 0, 4, 13, 51
"c:\Users\Alex\Desktop\Projects\backend\src\types\database\Job2.ts", "TypeScript", 0, 10, 0, 0, 0, 1, 2, 13
"c:\Users\Alex\Desktop\Projects\backend\src\types\database\Likes.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\Alex\Desktop\Projects\backend\src\types\database\LoadRequest.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Alex\Desktop\Projects\backend\src\types\database\Merchant.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 2, 16
