Date : 2023-09-01 21:00:34
Directory : c:\Users\Alex\Desktop\Projects\backend
Total : 150 files,  4720 codes, 324 comments, 926 blanks, all 5970 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\job\CreateJobPreview.ts            | TypeScript         |         19 |          3 |          4 |         26 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\job\FinalizeJob.ts                 | TypeScript         |         18 |          0 |          4 |         22 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\job\GetAddressUsed.ts              | TypeScript         |         17 |          0 |          4 |         21 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\job\GetAddressUsedRider.ts         | TypeScript         |         18 |          0 |          4 |         22 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\job\GetJob.ts                      | TypeScript         |         18 |          0 |          4 |         22 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\job\GetJobAddresses.ts             | TypeScript         |         18 |          0 |          3 |         21 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\job\GetJobAuthor.ts                | TypeScript         |         18 |          0 |          3 |         21 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\job\GetJobRider.ts                 | TypeScript         |         17 |          0 |          4 |         21 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\job\GetRiderFeeForJob.ts           | TypeScript         |         18 |          0 |          4 |         22 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\job\UpdateJobStatus.ts             | TypeScript         |         21 |          0 |          4 |         25 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\job\ViewJobs.ts                    | TypeScript         |         23 |          2 |          4 |         29 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\merchant\AddItem.ts                | TypeScript         |         16 |          1 |          4 |         21 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\merchant\GetItems.ts               | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\merchant\GetItemsbyIds.ts          | TypeScript         |         15 |          0 |          4 |         19 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\merchant\GetMerchant.ts            | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\merchant\GetMerchantData.ts        | TypeScript         |         13 |          1 |          4 |         18 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\merchant\GetMerchantItem.ts        | TypeScript         |         14 |          1 |          4 |         19 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\merchant\GetMerchants.ts           | TypeScript         |         17 |          0 |          4 |         21 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\merchant\GetNewItems.ts            | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\merchant\LikeMerchantItem.ts       | TypeScript         |         18 |          0 |          4 |         22 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\notifications\GetNotifications.ts  | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\notifications\SaveNotification.ts  | TypeScript         |         19 |          0 |          4 |         23 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\order\CreateOrder.ts               | TypeScript         |         20 |          0 |          4 |         24 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\payment\README.md                  | Markdown           |          9 |          0 |          3 |         12 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\payment\paypal\CreatePayment.ts    | TypeScript         |         16 |          1 |          3 |         20 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\rider\GetRider.ts                  | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\rider\GetRiderCurrentJob.ts        | TypeScript         |         16 |          0 |          3 |         19 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\rider\GetRiderHistory.ts           | TypeScript         |         16 |          0 |          3 |         19 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\rider\GetRiderJobs.ts              | TypeScript         |         16 |          1 |          3 |         20 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\rider\RiderOptIn.ts                | TypeScript         |         19 |          0 |          4 |         23 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\rider\RiderRequestLoad.ts          | TypeScript         |         19 |          0 |          4 |         23 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\rider\UpdateRiderProfile.ts        | TypeScript         |         18 |          0 |          4 |         22 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\user\GetRecommendedMerchants.ts    | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\user\GetUser.ts                    | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\user\GetUserDrafts.ts              | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\Alex\Desktop\Projects\backend\src\routes\user\GetUserHistory.ts             | TypeScript         |         15 |          0 |          3 |         18 |
