"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\Alex\Desktop\Projects\backend\src\schemas\Transaction.ts", "TypeScript", -1, 0, -1, -2
"Total", "-", -1, 0, -1, -2
